Scenario;Duration (h);Time Steps;# Buses;# Generators;# Loads;# AC Lines;# Transformers;# Contingencies;Total Load (pu);Total Generation (pu);Grid Size;Status;Description
Processing scenario_112.json in C3E1N01576D1;8.0;18;1576;615;1449;2227;144;219;31.436.038.956.000.100;29.992.792.946.899.900;Large;Invalid;This is a Large grid with 1576 buses and a planning horizon of 8.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 314.360 pu and reactive load is 152.252 pu. The generators produce 299.928 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_123.json in C3E1N01576D1;8.0;18;1576;615;1449;2227;144;219;31.436.038.956.000.100;3.090.128.475.379.990;Large;Invalid;This is a Large grid with 1576 buses and a planning horizon of 8.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 314.360 pu and reactive load is 152.252 pu. The generators produce 309.013 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_113.json in C3E1N01576D1;8.0;18;1576;615;1449;2227;144;219;25.922.478.838.328.600;31.136.705.379.929.900;Large;Invalid;This is a Large grid with 1576 buses and a planning horizon of 8.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 259.225 pu and reactive load is 125.548 pu. The generators produce 311.367 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_122.json in C3E1N01576D1;8.0;18;1576;615;1449;2227;144;219;31.436.038.956.000.100;31.526.469.436.699.900;Large;Invalid;This is a Large grid with 1576 buses and a planning horizon of 8.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 314.360 pu and reactive load is 152.252 pu. The generators produce 315.265 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_117.json in C3E1N01576D1;8.0;18;1576;615;1449;2227;144;219;31.250.051.134.289.900;30.197.464.317.449.900;Large;Invalid;This is a Large grid with 1576 buses and a planning horizon of 8.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 312.501 pu and reactive load is 151.351 pu. The generators produce 301.975 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_119.json in C3E1N01576D1;8.0;18;1576;615;1449;2227;144;219;31.436.038.956.000.100;29.992.483.946.999.900;Large;Invalid;This is a Large grid with 1576 buses and a planning horizon of 8.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 314.360 pu and reactive load is 152.252 pu. The generators produce 299.925 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_130.json in C3E1N01576D1;8.0;18;1576;615;1449;2227;144;219;31.436.038.956.000.100;30.944.591.704.279.900;Large;Invalid;This is a Large grid with 1576 buses and a planning horizon of 8.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 314.360 pu and reactive load is 152.252 pu. The generators produce 309.446 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_111.json in C3E1N01576D1;8.0;18;1576;615;1449;2227;144;219;2.635.082.413.663.340;3.196.602.593.599.990;Large;Invalid;This is a Large grid with 1576 buses and a planning horizon of 8.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 263.508 pu and reactive load is 127.623 pu. The generators produce 319.660 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_120.json in C3E1N01576D1;8.0;18;1576;615;1449;2227;144;219;31.436.038.956.000.100;29.990.855.946.999.900;Large;Invalid;This is a Large grid with 1576 buses and a planning horizon of 8.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 314.360 pu and reactive load is 152.252 pu. The generators produce 299.909 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_124.json in C3E1N01576D1;8.0;18;1576;615;1449;2227;144;219;31.436.038.956.000.100;3.193.381.639.699.990;Large;Invalid;This is a Large grid with 1576 buses and a planning horizon of 8.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 314.360 pu and reactive load is 152.252 pu. The generators produce 319.338 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_121.json in C3E1N01576D1;8.0;18;1576;615;1449;2227;144;219;3.076.556.649.691.740;3.120.154.342.739.990;Large;Invalid;This is a Large grid with 1576 buses and a planning horizon of 8.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 307.656 pu and reactive load is 149.004 pu. The generators produce 312.015 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_114.json in C3E1N01576D1;8.0;18;1576;615;1449;2227;144;219;31.436.038.956.000.100;3.196.602.593.599.990;Large;Invalid;This is a Large grid with 1576 buses and a planning horizon of 8.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 314.360 pu and reactive load is 152.252 pu. The generators produce 319.660 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_129.json in C3E1N01576D1;8.0;18;1576;615;1449;2227;144;219;31.436.038.956.000.100;30.859.309.066.499.900;Large;Invalid;This is a Large grid with 1576 buses and a planning horizon of 8.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 314.360 pu and reactive load is 152.252 pu. The generators produce 308.593 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_118.json in C3E1N01576D1;8.0;18;1576;615;1449;2227;144;219;27.236.460.580.148.900;31.546.856.699.299.900;Large;Invalid;This is a Large grid with 1576 buses and a planning horizon of 8.0 hours. It has 615 producers and 1449 consumers. Total initial active load is 272.365 pu and reactive load is 131.912 pu. The generators produce 315.469 pu initially. There are 2227 AC lines, 144 transformers, and 219 contingency cases. 
Processing scenario_114.json in C3E1N04200D1;8.0;18;4224;478;1673;2605;2325;2313;27.609.961.248.445.600;29.227.258.083.975.300;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 8.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 276.100 pu and reactive load is 133.721 pu. The generators produce 292.273 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
Processing scenario_121.json in C3E1N04200D1;8.0;18;4224;478;1673;2605;2325;2313;32.251.886.560.327.000;29.593.663.865.675.300;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 8.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 322.519 pu and reactive load is 156.203 pu. The generators produce 295.937 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
Processing scenario_118.json in C3E1N04200D1;8.0;18;4224;478;1673;2605;2325;2313;322.690.323.510.476;29.227.258.083.975.300;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 8.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 322.690 pu and reactive load is 156.286 pu. The generators produce 292.273 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
Processing scenario_129.json in C3E1N04200D1;8.0;18;4224;478;1673;2605;2325;2313;31.742.533.007.804.100;29.485.623.079.275.300;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 8.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 317.425 pu and reactive load is 153.736 pu. The generators produce 294.856 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
Processing scenario_130.json in C3E1N04200D1;8.0;18;4224;478;1673;2605;2325;2313;2.965.063.395.576.290;29.297.001.006.155.300;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 8.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 296.506 pu and reactive load is 143.605 pu. The generators produce 292.970 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
Processing scenario_119.json in C3E1N04200D1;8.0;18;4224;478;1673;2605;2325;2313;322.690.323.510.476;2.954.644.488.958.530;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 8.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 322.690 pu and reactive load is 156.286 pu. The generators produce 295.464 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
Processing scenario_124.json in C3E1N04200D1;8.0;18;4224;478;1673;2605;2325;2313;322.690.323.510.476;29.227.258.083.975.300;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 8.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 322.690 pu and reactive load is 156.286 pu. The generators produce 292.273 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
Processing scenario_111.json in C3E1N04200D1;8.0;18;4224;478;1673;2605;2325;2313;2.246.249.357.934.910;29.227.258.083.975.300;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 8.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 224.625 pu and reactive load is 108.791 pu. The generators produce 292.273 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
Processing scenario_117.json in C3E1N04200D1;8.0;18;4224;478;1673;2605;2325;2313;3.096.800.035.864.550;2.958.978.245.581.530;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 8.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 309.680 pu and reactive load is 149.985 pu. The generators produce 295.898 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
Processing scenario_113.json in C3E1N04200D1;8.0;18;4224;478;1673;2605;2325;2313;20.000.639.316.241.000;2.946.758.778.257.530;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 8.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 200.006 pu and reactive load is 96.868 pu. The generators produce 294.676 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
Processing scenario_122.json in C3E1N04200D1;8.0;18;4224;478;1673;2605;2325;2313;322.690.323.510.476;29.227.258.083.975.300;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 8.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 322.690 pu and reactive load is 156.286 pu. The generators produce 292.273 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
Processing scenario_112.json in C3E1N04200D1;8.0;18;4224;478;1673;2605;2325;2313;3.224.949.690.605.560;29.227.258.083.975.300;Large;Valid;This is a Large grid with 4224 buses and a planning horizon of 8.0 hours. It has 478 producers and 1673 consumers. Total initial active load is 322.495 pu and reactive load is 156.191 pu. The generators produce 292.273 pu initially. There are 2605 AC lines, 2325 transformers, and 2313 contingency cases. 
Processing scenario_112.json in C3E1N00600D1;8.0;18;617;94;405;723;130;562;8.629.946.962.432.360;9.763.704.239.269.990;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 8.0 hours. It has 94 producers and 405 consumers. Total initial active load is 86.299 pu and reactive load is 41.797 pu. The generators produce 97.637 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_113.json in C3E1N00600D1;8.0;18;617;94;405;723;130;562;6.279.099.195.871.420;969.537.858.584;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 8.0 hours. It has 94 producers and 405 consumers. Total initial active load is 62.791 pu and reactive load is 30.411 pu. The generators produce 96.954 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_122.json in C3E1N00600D1;8.0;18;617;94;405;723;130;562;8.647.463.430.054.590;971.676.938.424;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 8.0 hours. It has 94 producers and 405 consumers. Total initial active load is 86.475 pu and reactive load is 41.882 pu. The generators produce 97.168 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_117.json in C3E1N00600D1;8.0;18;617;94;405;723;130;562;7.914.066.870.851.460;9.749.722.345.289.990;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 8.0 hours. It has 94 producers and 405 consumers. Total initial active load is 79.141 pu and reactive load is 38.330 pu. The generators produce 97.497 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_121.json in C3E1N00600D1;8.0;18;617;94;405;723;130;562;9.012.514.595.913.780;970.330.060.434;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 8.0 hours. It has 94 producers and 405 consumers. Total initial active load is 90.125 pu and reactive load is 43.650 pu. The generators produce 97.033 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_114.json in C3E1N00600D1;8.0;18;617;94;405;723;130;562;9.482.572.822.763.800;9.664.269.384.239.990;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 8.0 hours. It has 94 producers and 405 consumers. Total initial active load is 94.826 pu and reactive load is 45.926 pu. The generators produce 96.643 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_129.json in C3E1N00600D1;8.0;18;617;94;405;723;130;562;9.600.249.988.890.000;9.746.619.388.239.990;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 8.0 hours. It has 94 producers and 405 consumers. Total initial active load is 96.002 pu and reactive load is 46.496 pu. The generators produce 97.466 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_002.json in C3E1N00600D1;8.0;18;617;94;405;723;130;562;9.600.249.988.889.990;9.845.669.385.469.990;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 8.0 hours. It has 94 producers and 405 consumers. Total initial active load is 96.002 pu and reactive load is 25.559 pu. The generators produce 98.457 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_118.json in C3E1N00600D1;8.0;18;617;94;405;723;130;562;7.508.491.765.452.130;9.732.729.566.239.990;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 8.0 hours. It has 94 producers and 405 consumers. Total initial active load is 75.085 pu and reactive load is 36.365 pu. The generators produce 97.327 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_119.json in C3E1N00600D1;8.0;18;617;94;405;723;130;562;9.364.889.773.743.370;9.738.224.042.339.990;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 8.0 hours. It has 94 producers and 405 consumers. Total initial active load is 93.649 pu and reactive load is 45.356 pu. The generators produce 97.382 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_130.json in C3E1N00600D1;8.0;18;617;94;405;723;130;562;9.600.249.988.890.000;9.814.269.384.239.990;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 8.0 hours. It has 94 producers and 405 consumers. Total initial active load is 96.002 pu and reactive load is 46.496 pu. The generators produce 98.143 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_120.json in C3E1N00600D1;8.0;18;617;94;405;723;130;562;8.744.929.994.390.920;9.706.719.384.239.990;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 8.0 hours. It has 94 producers and 405 consumers. Total initial active load is 87.449 pu and reactive load is 42.354 pu. The generators produce 97.067 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_111.json in C3E1N00600D1;8.0;18;617;94;405;723;130;562;8.010.157.744.053.400;9.814.269.384.239.990;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 8.0 hours. It has 94 producers and 405 consumers. Total initial active load is 80.102 pu and reactive load is 38.795 pu. The generators produce 98.143 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_124.json in C3E1N00600D1;8.0;18;617;94;405;723;130;562;9.600.249.988.890.000;9.664.269.384.239.990;Large;Valid;This is a Large grid with 617 buses and a planning horizon of 8.0 hours. It has 94 producers and 405 consumers. Total initial active load is 96.002 pu and reactive load is 46.496 pu. The generators produce 96.643 pu initially. There are 723 AC lines, 130 transformers, and 562 contingency cases. 
Processing scenario_101.json in C3E1N06049D1;8.0;18;6049;803;3368;4920;3086;3884;23.043.961.857.661.200;1.920.298.004.921.710;Large;Valid;This is a Large grid with 6049 buses and a planning horizon of 8.0 hours. It has 803 producers and 3368 consumers. Total initial active load is 230.440 pu and reactive load is 75.472 pu. The generators produce 192.030 pu initially. There are 4920 AC lines, 3086 transformers, and 3884 contingency cases. 
Processing scenario_058.json in C3E1N06049D1;8.0;18;6049;468;3368;4920;3086;3884;23.199.946.805.057.700;2.005.169.589.499.020;Large;Valid;This is a Large grid with 6049 buses and a planning horizon of 8.0 hours. It has 468 producers and 3368 consumers. Total initial active load is 231.999 pu and reactive load is 112.362 pu. The generators produce 200.517 pu initially. There are 4920 AC lines, 3086 transformers, and 3884 contingency cases. 
Processing scenario_117.json in C3E1N00003D1;8.0;18;3;2;1;2;2;2;0.38152743948031687;0.245;Small;Invalid;This is a Small grid with 3 buses and a planning horizon of 8.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.382 pu and reactive load is 0.185 pu. The generators produce 0.245 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_113.json in C3E1N00003D1;8.0;18;3;2;1;2;2;2;0.2619903112054504;0.398;Small;Invalid;This is a Small grid with 3 buses and a planning horizon of 8.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.262 pu and reactive load is 0.127 pu. The generators produce 0.398 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_123.json in C3E1N00003D1;8.0;18;3;2;1;2;2;2;0.37540053505286575;0.245;Small;Invalid;This is a Small grid with 3 buses and a planning horizon of 8.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.375 pu and reactive load is 0.182 pu. The generators produce 0.245 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_124.json in C3E1N00003D1;8.0;18;3;2;1;2;2;2;0.39000000000000007;0.40449999999999997;Small;Invalid;This is a Small grid with 3 buses and a planning horizon of 8.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.390 pu and reactive load is 0.189 pu. The generators produce 0.404 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_114.json in C3E1N00003D1;8.0;18;3;2;1;2;2;2;0.37002072970531164;0.479;Small;Invalid;This is a Small grid with 3 buses and a planning horizon of 8.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.370 pu and reactive load is 0.179 pu. The generators produce 0.479 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_125.json in C3E1N00003D1;8.0;18;3;2;1;2;2;2;0.3790770184485134;0.283;Small;Invalid;This is a Small grid with 3 buses and a planning horizon of 8.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.379 pu and reactive load is 0.184 pu. The generators produce 0.283 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_121.json in C3E1N00003D1;8.0;18;3;2;1;2;2;2;0.38461431663521456;0.45299999999999996;Small;Invalid;This is a Small grid with 3 buses and a planning horizon of 8.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.385 pu and reactive load is 0.186 pu. The generators produce 0.453 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_126.json in C3E1N00003D1;8.0;18;3;2;1;2;2;2;0.39;0.438;Small;Invalid;This is a Small grid with 3 buses and a planning horizon of 8.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.390 pu and reactive load is 0.189 pu. The generators produce 0.438 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_120.json in C3E1N00003D1;8.0;18;3;2;1;2;2;2;0.3602263433093618;0.3435;Small;Invalid;This is a Small grid with 3 buses and a planning horizon of 8.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.360 pu and reactive load is 0.174 pu. The generators produce 0.344 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_130.json in C3E1N00003D1;8.0;18;3;2;1;2;2;2;0.33342480150794096;0.255;Small;Invalid;This is a Small grid with 3 buses and a planning horizon of 8.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.333 pu and reactive load is 0.161 pu. The generators produce 0.255 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_112.json in C3E1N00003D1;8.0;18;3;2;1;2;2;2;0.31182529491335725;0.245;Small;Invalid;This is a Small grid with 3 buses and a planning horizon of 8.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.312 pu and reactive load is 0.151 pu. The generators produce 0.245 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_129.json in C3E1N00003D1;8.0;18;3;2;1;2;2;2;0.37453939219249327;0.4905;Small;Invalid;This is a Small grid with 3 buses and a planning horizon of 8.0 hours. It has 2 producers and 1 consumers. Total initial active load is 0.375 pu and reactive load is 0.181 pu. The generators produce 0.490 pu initially. There are 2 AC lines, 2 transformers, and 2 contingency cases. 
Processing scenario_119.json in C3E1N00014D1;8.0;18;14;6;11;17;3;12;0.9184457079259792;0.47801001029999995;Large;Valid;This is a Large grid with 14 buses and a planning horizon of 8.0 hours. It has 6 producers and 11 consumers. Total initial active load is 0.918 pu and reactive load is 0.445 pu. The generators produce 0.478 pu initially. There are 17 AC lines, 3 transformers, and 12 contingency cases. 
